atc_code,atc_description
a10ae05,Insulina detemir
a10ae04,Insulina glargina
a10ae54,Insulina glargina y lixisenatida
a10ab,Insulinas y análogos de acción rápida para inyección
a10ab01,Insulina (humana)
a10ab05,Insulina asparta
a10ab06,Insulina glulisina
a10ab04,Insulina lispro
a10ad,Insulinas y analogos; combinaciones de insulinas de accion intermedia o prolongada con insulinas de accion inmediata para inyeccion
a10ad01,Insulina (humana)
a10ad05,Insulina asparta
a10ad06,Insulina degludec e insulina asparta
a10ad04,Insulina lispro
a06,Laxantes
a06a,Fármacos para el estreñimiento
a06ah,Antagonistas del receptor opiode periférico
a06ah01,Bromuro de metilnaltrexona
a06ah05,Naldemedina
a06ah03,Naloxegol
a06ag,Enemas
a06ag20,"Enemas, combinaciones con"
a06ag01,Fosfato de sodio
a06ag04,Glicerol
a06ag11,"Sodio lauril sulfoacetato, incluyendo combinaciones"
a06ac,Formadores de volumen
a06ac01,Ispaghula (semillas de psyllium)
a06ac51,"Ispaghula, combinaciones con"
a06ac06,Metilcelulosa
a06ab,Laxantes de contacto
a06ab05,Aceite de ricino
a06ab02,Bisacodilo
a06ab07,Cáscara
a06ab57,"Cáscara, combinaciones con"
a06ab06,Glicósidos de sena
a06ab56,"Glicósidos de sena, combinaciones con"
a06ab20,Laxantes de contacto en combinación
a06ab08,Picosulfato de sodio
a06ab58,"Picosulfato de sodio, combinaciones con"
a06ad,Laxantes osmóticos
a06ad17,Fosfato de sodio
a06ad12,Lactitol
a06ad11,Lactulosa
a06ad15,Macrogol
a06ad65,"Macrogol, combinaciones con"
a06ad91,Magnesio hidroxido
a06ad10,Sales minerales en combinación
a06ax,Otros laxantes
a06ax01,Glicerol
a06ax04,Linaclotida
a06ax03,Lubiprostona
a06ax05,Prucaloprida
a06aa,"Suavizantes, emolientes"
a06aa51,"Parafina blanda, combinaciones con"
a06aa01,Parafina liquida
a16,Otros productos para el tracto alimentario y metabolismo
a16a,Otros productos para el tracto alimentario y metabolismo
a16aa,Aminoácidos y derivados
a16aa05,Ácido carglúmico
a16aa06,Betaína
a16aa01,Levocarnitina
a16aa04,Mercaptamina
a16aa07,Metreleptina
a16ab,Enzimas
a16ab03,Agalsidasa alfa
a16ab04,Agalsidasa beta
a16ab07,Alglucosidasa alfa
a16ab13,Asfotasa alfa
a16ab21,Atidarsagén autotemcel
a16ab22,Avalglucosidasa alfa
a16ab17,Cerliponasa alfa
a16ab23,Cipaglucosidasa alfa
a16ab26,Eladocagén exuparvovec
a16ab12,Elosulfasa alfa
a16ab09,Idursulfasa
a16ab02,Imiglucerasa
a16ab05,Laronidase
a16ab25,Olipudasa alfa
a16ab20,Pegunigalsidasa alfa
a16ab19,Pegvaliasa
a16ab24,Pegzilarginasa
a16ab14,Sebelipasa alfa
a16ab10,Velaglucerasa alfa
a16ab15,Velmanasa alfa
a16ab18,Vestronidasa alfa
a16ax,Productos varios para el tracto alimentario y el metabolismo
a16ax05,Acetato de zinc
a16ax01,Ácido tióctico
a16ax10,Eliglustat
a16ax09,Fenilbutirato de glicerol
a16ax03,Fenilbutirato de sodio
a16ax16,Givosirán
a16ax18,Lumasiran
a16ax14,Migalastat
a16ax06,Miglustat
a16ax04,Nitisinona
a16ax07,Sapropterina
a16ax08,Teduglutida
a16ax15,Telotristat
a16ax12,Trientina
a08,"Preparados contra la obesidad, excluidos productos dietéticos"
a08a,"Preparados contra la obesidad, excluyendo productos dietéticos"
a08ax,Otros agentes contra la obesidad
a08aa,Productos contra la obesidad de acción central
a08aa62,Bupropion y naltrexona
a08aa12,Setmelanotida
a08ab,Productos contra la obesidad de acción periférica
a08ab01,Orlistat
a01,Preparados estomatológicos
a01a,Preparados estomatológicos
a01aa,Agentes para la profilaxis de las caries
a01aa01,Fluoruro de sodio
a01ab,Antiinfecciosos y antisépticos para el tratamiento oral-local
a01ab03,Clorhexidina
a01ab22,Doxiciclina
a01ab09,Miconazol
a01ab19,Perborato de sodio
a01ac,Corticosteroides para tratamiento oral-local
a01ac03,Hidrocortisona
a01ac53,"Hidrocortisona, combinaciones con"
a01ad,Otros agentes para tratamiento oral-local
a01ad02,Bencidamina
a01ad92,Carbenoxolona
a01ad11,Varios
a12,Suplementos minerales
a12a,Calcio
a12aa,Calcio
a12aa91,Calcio pidolato
a12aa04,Carbonato de calcio
a12aa92,Complejo oseina-hidroxiapatita
a12aa01,Fosfato de calcio
a12aa03,Gluconato de calcio
a12ax,"Calcio, combinaciones con, vitamina D y/o otros fármacos"
a12ax93,"Calcio carbonato y colecalciferol, combinaciones con"
a12ax91,"Calcio fosfato y colecalciferol, combinaciones con"
a12ax94,"Calcio glucoheptonato y colecalciferol, combinaciones con"
a12ax92,"Calcio lactato y colecalciferol, combinaciones con"
a12ax96,"Calcio pidolato y colecalciferol, combinaciones con"
a12ax97,Otras asociaciones de calcio
a12c,Otros suplementos minerales
a12cc,Magnesio
a12cc06,Lactato de magnesio
a12cc30,Magnesio (combinación de diferentes sales)
a12cc08,Pidolato de magnesio
a12cx,Productos con otros minerales
a12cx91,Fosforo
a12ce,Selenio
a12ce02,Selenito de sodio
a12b,Potasio
a12ba,Potasio
a12ba04,Bicarbonato de potasio
a12ba01,Cloruro de potasio
a12ba30,Potasio (combinacion de diferentes sales)
a12ba91,Potasio gluceptato
a05,Terapia biliar y hepática
a05a,Terapia biliar
a05aa,Acidos biliares y derivados
a05aa03,Ácido cólico
a05aa04,Acido obeticolico
a05aa01,Ácido quenodesoxicólico
a05aa02,Ácido ursodesoxicólico
a05ax,Otros fármacos para terapia biliar
a05ax04,Cloruro de maralixibat
a05ax06,Elafibranor
a05ax05,Odevixibat
a05b,"Terapia hepática, lipotrópicos"
a05ba,Terapia hepática
a05ba03,Silimarina
a13,Tónicos
a13a,Tónicos
a11,Vitaminas
a11g,"Ácido ascórbico (vitamina C), incluyendo combinaciones"
a11gb,"Ácido ascórbico (vitamina C), combinaciones"
a11ga,"Ácido ascórbico (vitamina C), monofármaco"
a11ga01,Ácido ascórbico (vitamina C)
a11b,Multivitamínicos solos
a11ba,Multivitamínicos solos
a11ba91,"Vitaminas A y E, combinaciones con"
a11a,"Multivitamínicos, combinaciones"
a11aa,Multivitamínicos con minerales
a11aa03,"Multivitamínicos con otros minerales, incluyendo combinaciones"
a11h,"Otros preparados de vitaminas, monofármacos"
a11ha,"Otros preparados de vitaminas, monofármacos"
a11ha05,Biotina
a11ha30,Dexpantenol
a11ha02,Piridoxina (vitamina B6)
a11ha03,Tocoferol (vitamina E)
a11ha08,Tocofersolán
a11j,"Otros productos con vitaminas, combinaciones"
a11ja,Combinaciones de vitaminas
a11jb,Vitaminas con minerales
a11jc,"Vitaminas, otras combinaciones"
a11d,"Vitamina B1, sola y en combinación con vitaminas B6 y B12"
a11db,Vitamina B1 en combinación con vitamina B6 y/o vitamina B12
a11db91,Vitamina B1 en combinación con vitamina B6 y/o vitamina B12
a11da,Vitamina B1 sola
a11da02,Sulbutiamina
a11da01,Tiamina (vitamina B1)
a11c,"Vitaminas A y D, incluyendo combinaciones de las dos"
a11ca,Vitamina a sola
a11ca01,Retinol (vitamina A)
a11cc,Vitamina D y análogos
a11cc03,Alfacalcidol
a11cc06,Calcifediol
a11cc04,Calcitriol
a11cc05,Colecalciferol
a11e,"Vitaminas del complejo B, incluyendo combinaciones"
a11eb,Vitaminas del complejo B con vitamina C
a11ex,"Vitaminas del complejo B, otras combinaciones"
b,Sangre y órganos hematopoyéticos
b01,Agentes antitrombóticos
b01a,Agentes antitrombóticos
b01aa,Antagonistas de la vitamina K
b01aa07,Acenocumarol
b01aa03,Warfarina
b01ad,Enzimas
b01ad02,Alteplasa
b01ad01,Estreptoquinasa
b01ad12,Proteína c
b01ad07,Reteplasa
b01ad11,Tenecteplasa
b01ad04,Uroquinasa
b01ab,Grupo de la heparina
b01ab02,Antitrombina III
b01ab12,Bemiparina
b01ab13,Certoparina
b01ab04,Dalteparina
b01ab09,Danaparoid
b01ab05,Enoxaparina
b01ab01,Heparina
b01ab06,Nadroparina
b01ab11,Sulodexida
b01ab10,Tinzaparina
b01ac,"Inhibidores de la agregación plaquetaria, heparina excl."
b01ac13,Abciximab
b01ac06,Ácido acetilsalicílico
b01ac25,Cangrelor
b01ac23,Cilostazol
b01ac04,Clopidogrel
b01ac30,Combinaciones
b01ac07,Dipiridamol
b01ac09,Epoprostenol
b01ac16,Eptifibatida
b01ac11,Iloprost
b01ac22,Prasugrel
b01ac27,Selexipag
b01ac24,Ticagrelor
b01ac05,Ticlopidina
b01ac17,Tirofibán
b01ac21,Treprostinilo
b01ac18,Triflusal
b01ae,Inhibidores directos de la trombina
b01ae03,Argatroban
b01ae06,Bivalirudina
b01ae07,Dabigatran etexilato
b01af,Inhibidores directos del factor XA
b01af02,Apixaban
b01af03,Edoxabán
b01af01,Rivaroxabán
b01ax,Otros agentes antitrombóticos
b01ax07,Caplacizumab
b01ax05,Fondaparinux
b02,Antihemorrágicos
b02a,Antifibrinolíticos
b02aa,Aminoácidos
b02aa02,Ácido tranexámico
b02ab,Inhibidores de la proteinasa
b02ab02,Alfa1 antitripsina
b02ab01,Aprotinina
b02b,Vitamina K y otros hemostáticos
b02bd,Factores de la coagulación sanguínea
b02bd03,Actividad que sobrepasa el inhibidor del factor VIII
b02bd11,Catridecacog
b02bd04,Factor IX de la coagulacion
b02bd08,Factor VIIa de la coagulación
b02bd02,Factor VIII de la coagulación
b02bd10,Factor von willebrand
b02bd06,Factor von willebrand y factor VIII de la coagulación en combinación
b02bd07,Factor XIII de la coagulación
b02bd01,"Factores de la coagulacion IX, II, VII y X en combinacion"
b02bd14,Susoctocog alfa
b02bd15,Valoctocogene roxaparvovec
b02bb,Fibrinógeno
b02bb01,Fibrinógeno humano
b02bc,Hemostáticos locales
b02bc30,Combinaciones
b02bx,Otros hemostáticos sistémicos
b02bx08,Avatrombopag
b02bx05,Eltrombopag
b02bx06,Emicizumab
b02bx09,Fostamatinib
b02bx07,Lusutrombopag
b02bx04,Romiplostim
b02ba,Vitamina K
b02ba01,Fitomenadiona
b06,Otros agentes hematológicos
b06a,Otros agentes hematológicos
b06ac,Fármacos utilizados en el angioedema hereditario
b06ac06,Berotralstat
b06ac04,Conestat alfa
b06ac02,Icatibanto
b06ac01,"Inhibidor de C1, derivado del plasma"
b06ac05,Lanadelumab
b06ax,Otros agentes hematológicos
b06ax01,Crizanlizumab
b06ax05,Exagamglogén autotemcel
b06ax03,Voxelotor
b06ab,Otros productos con grupo hemo
b06ab01,Hematina
b03,Preparados antianémicos
b03x,Otros preparados antianémicos
b03xa,Otros preparados antianémicos
b03xa02,Darbepoetina alfa
b03xa01,Eritropoyetina
b03xa06,Luspatercept
b03xa03,Metoxi propilenglicol epoetina beta
b03xa05,Roxadustat
b03a,Preparados con hierro
b03aa,"Hierro bivalente, preparados orales"
b03aa01,Ferroso glicina sulfato
b03aa03,Ferroso gluconato
b03aa07,Ferroso sulfato
b03aa91,Hierro lactato
b03ad,Hierro en combinación con ácido fólico
b03ad02,Fumarato ferroso
b03ad05,Gluconato ferroso y ácido fólico
b03ad01,"Hierro ferroso y aminoácidos, complejo de"
b03ad03,Sulfato ferroso
b03ab,"Hierro trivalente, preparados orales"
b03ab05,Complejos de óxido férrico-polimaltosa
b03ab91,Ferritina
b03ab93,Ferrocolinato
b03ab92,Hierro manitol (ferrimanitol)
b03ab10,Maltol férrico
b03ab09,Proteinsuccinilato férrico
b03ac,"Hierro, preparados parenterales"
b03ac92,Hierro carboximaltosa
b03b,Vitamina B12 y ácido fólico
b03bb,Ácido fólico y derivados
b03bb01,Ácido fólico
b03ba,Vitamina B12 (cianocobalamina y análogos)
b03ba01,Cianocobalamina
b03ba51,"Cianocobalamina, combinaciones con"
b03ba03,Hidroxocobalamina
b05,Sustitutos del plasma y soluciones para perfusión
b05x,Aditivos para soluciones IV
b05xb,Aminoácidos
b05xb02,Alanilglutamina
b05xa,Soluciones electrolíticas
b05xa17,Acetato de potasio
b05xa02,Bicarbonato de sodio
b05xa07,Cloruro de calcio
b05xa01,Cloruro de potasio
b05xa03,Cloruro de sodio
b05xa30,Combinaciones de electrolitos
b05xa31,Electrolitos en combinación con otras farmacos
b05xa06,"Fosfato de potasio, incluyendo combinaciones con otras sales de potasio"
b05xa09,Fosfato de sodio
b05xa14,Glicerofosfato de sodio
b05xa16,Soluciones cardiopléjicas
b05xa05,Sulfato de magnesio
b05xc,Vitaminas
b05a,Sangre y productos relacionados
b05aa,Sustitutos de la sangre y fracciones proteicas del plasma
b05aa01,Albúmina
b05aa92,"Dextrano y sodio cloruro, combinaciones con"
b05aa06,"Gelatina, agentes con"
b05aa07,Hidroxietil almidón
b05b,Soluciones IV
b05ba,Soluciones para nutrición parenteral
b05ba01,Aminoácidos
b05ba03,Carbohidratos
b05ba10,Combinaciones
b05ba02,Emulsiones grasas
b05bb,Soluciones que afectan el balance electrolítico
b05bb01,Electrolitos
b05bb02,Electrolitos con carbohidratos
b05bb91,"Sodio cloruro, solución parenteral"
b05bb92,Suero glucosalino
b05bc,Soluciones que producen diuresis osmótica
b05bc01,Manitol
b05d,Soluciones para diálisis peritoneal
b05db,Soluciones hipertónicas
b05db92,"Aminoácidos, diálisis peritoneal hipertónica"
b05db91,"Glucosa con electrolitos, diálisis peritoneal hipertónica"
b05da,Soluciones isotónicas
b05da91,"Glucosa con electrolitos, diálisis peritoneal isotónica"
b05da92,"Icodextrina con electrolitos, diálisis peritoneal isotónica"
b05z,Soluciones para hemodiálisis y hemofiltración
b05zb,Hemofiltrados
b05zb91,Hemofiltrados
c,Sistema cardiovascular
c07,Agentes beta-bloqueantes
c07a,Agentes beta-bloqueantes
c07aa,Agentes beta-bloqueantes no selectivos
c07aa12,Nadolol
c07aa05,Propranolol
c07aa07,Sotalol
c07ab,Agentes beta-bloqueantes selectivos
c07ab03,Atenolol
c07ab07,Bisoprolol
c07ab08,Celiprolol
c07ab09,Esmolol
c07ab14,Landiolol
c07ab02,Metoprolol
c07ab12,Nebivolol
c07ag,Agentes bloqueantes alfa y beta
c07ag02,Carvedilol
c07ag01,Labetalol
c07c,Agentes beta-bloqueantes y otros diuréticos
c07cb,Agentes beta-bloqueantes selectivos y otros diuréticos
c07cb03,Atenolol y otros diuréticos
c07b,Agentes beta-bloqueantes y tiazidas
c07bb,Agentes beta-bloqueantes selectivos y tiazidas
c07bb03,Atenolol y tiazidas
c07bb07,Bisoprolol y tiazidas
c07bb12,Nebivolol y tiazidas
c07f,"Agentes beta-bloqueantes, otras combinaciones"
c07fb,Agentes beta-bloqueantes selectivos y bloqueantes de canales de calcio
c07fb02,Metoprolol y felodipino
c07fx,"Agentes beta-bloqueantes, otras combinaciones"
c07fx06,Carvedilol e ivabradina
c07d,"Agentes beta-bloqueantes, tiazidas y otros diuréticos"
c07db,"Agentes beta-bloqueantes selectivos, tiazidas y otros diuréticos"
c07db01,"Atenolol, tiazidas y otros diuréticos"
c09,Agentes que actúan sobre el sistema renina-angiotensina
c09d,"Antagonistas de los receptores de angiotensina II, combinaciones"
c09db,Antagonistas de los receptores de angiotensina II y bloqueantes de canales de calcio
c09db07,Candesartan y amlodipino
c09db05,Irbesartán y amlodipino
c09db02,Olmesartán medoxomilo y amlodipino
c09db04,Telmisartán y amlodipino
c09db01,Valsartán y amlodipino
c09da,Antagonistas de los receptores de angiotensina II y diuréticos
c09da06,Candesartán y diuréticos
c09da02,Eprosartan y diuréticos
c09da04,Irbesartan y diuréticos
c09da01,Losartán y diuréticos
c09da08,Olmesartán medoxomilo y diuréticos
c09da07,Telmisartán y diuréticos
c09da03,Valsartán y diuréticos
c09dx,"Antagonistas de los receptores de angiotensina II, otras combinaciones con"
c09dx06,"Candesartan, amlodipino e hidroclorotiazida"
c09dx03,"Olmesartán medoxomilo, amlodipino e hidroclorotiazida"
c09dx04,Valsartan y sacubitrilo
c09dx01,"Valsartán, amlodipino e hidroclorotiazida"
c09c,"Antagonistas de los receptores de angiotensina II, monoterapia"
c09ca,"Antagonistas de los receptores de angiotensina II, monoterapia"
c09ca09,Azilsartán medoxomilo
c09ca06,Candesartán
c09ca02,Eprosartán
c09ca04,Irbesartán
c09ca01,Losartán
c09ca08,Olmesartan medoxomilo
c09ca07,Telmisartán
c09ca03,Valsartán
c09b,"Inhibidores de la ECA, combinaciones"
c09bb,Inhibidores de la ECA y bloqueantes de canales de calcio
c09bb12,Delapril y manidipino
c09bb02,Enalapril y lercanidipino
c09bb06,Enalapril y nitrendipino
c09bb03,Lisinopril y amlodipino
c09bb04,Perindopril y amlodipino
c09bb07,Ramipril y amlodipino
c09bb05,Ramipril y felodipino
c09bb10,Trandolapril y verapamilo
c09ba,Inhibidores de la ECA y diuréticos
c09ba07,Benazepril y diuréticos
c09ba01,Captopril y diuréticos
c09ba08,Cilazapril y diuréticos
c09ba02,Enalapril y diuréticos
c09ba09,Fosinopril y diuréticos
c09ba03,Lisinopril y diuréticos
c09ba04,Perindopril y diuréticos
c09ba06,Quinapril y diuréticos
c09ba05,Ramipril y diuréticos
c09ba15,Zofenopril y diuréticos
c09bx,"Inhibidores de la eca, otras combinaciones"
c09bx01,"Perindopril, amlodipino e indapamida"
c09bx05,Ramipril y bisoprolol
c09bx03,"Ramipril, amlodipino e hidroclorotiazida"
c09a,"Inhibidores de la ECA, monofármacos"
c09aa,"Inhibidores de la ECA, monofármacos"
c09aa07,Benazepril
c09aa01,Captopril
c09aa08,Cilazapril
c09aa12,Delapril
c09aa02,Enalapril
c09aa09,Fosinopril
c09aa16,Imidapril
c09aa03,Lisinopril
c09aa04,Perindopril
c09aa06,Quinapril
c09aa05,Ramipril
c09aa10,Trandolapril
c09aa15,Zofenopril
c09x,Otros agentes que actúan sobre el sistema renina-angiotensina
c09xa,Inhibidores de la renina
c09xa02,Aliskireno
c09xa52,Aliskireno e hidroclorotiazida
c09xa53,Aliskireno y amlodipino
c09xx,Otros agentes que actúan sobre el sistema renina-angiotensina
c09xx01,Esparsentán
c10,Agentes que reducen los lípidos séricos
c10b,"Agentes modificadores de los lípidos, combinaciones"
c10ba,Inhibidores de la hmg-coa reductasa en combinación con otros agentes modificadores de lipidos
c10ba10,Ácido bempedoico y ezetimiba
c10ba05,Atorvastatina y ezetimiba
c10ba03,Pravastatina y fenofibrato
c10ba06,Rosuvastatina y ezetimiba
c10ba02,Simvastatina y ezetimiba
c10ba04,Simvastatina y fenofibrato
c10bx,"Inhibidores de la hmg-coa reductasa, otras combinaciones"
c10bx03,Atorvastatina y amlodipino
c10bx06,"Atorvastatina, acido acetilsalicilico y ramipril"
c10bx11,"Atorvastatina, amlodipino y perindopril"
c10bx18,"Atorvastatina, amlodipino y ramipril"
c10bx05,Rosuvastatina y ácido acetilsalicílico
c10bx09,Rosuvastatina y amlodipino
c10bx17,Rosuvastatina y ramipril
c10bx10,Rosuvastatina y valsartán
c10a,"Agentes modificadores de los lípidos, monofármacos"
c10ab,Fibratos
c10ab02,Bezafibrato
c10ab05,Fenofibrato
c10ab04,Gemfibrozilo
c10aa,Inhibidores de la HMG-CoA reductasa
c10aa05,Atorvastatina
c10aa04,Fluvastatina
c10aa02,Lovastatina
c10aa08,Pitavastatina
c10aa03,Pravastatina
c10aa07,Rosuvastatina
c10aa01,Simvastatina
c10ax,Otros agentes modificadores de los lípidos
c10ax15,Acido bempedoico
c10ax10,Alipogén tiparvovec
c10ax14,Alirocumab
c10ax17,Evinacumab
c10ax13,Evolocumab
c10ax09,Ezetimiba
c10ax16,Inclisiran
c10ax12,Lomitapida
c10ax06,"Triglicéridos omega-3, incluidos otros ésteres y ácidos"
c10ax96,Volanersorsen
c10ax18,Volanesorsen
c10ac,Secuestradores de ácidos biliares
c10ac04,Colesevelam
c10ac02,Colestipol
c10ac01,Colestiramina
c10ac03,Colextrán
c02,Antihipertensivos
c02a,Agentes antiadrenérgicos de acción central
c02ac,Agonistas del receptor de imidazolina
c02ac01,Clonidina
c02ac02,Guanfacina
c02ac05,Moxonidina
c02ab,Metildopa
c02ab01,Metildopa (levógira)
c02c,Agentes antiadrenérgicos de acción periférica
c02ca,Antagonistas de receptores alfa-adrenérgicos
c02ca04,Doxazosina
c02ca01,Prazosina
c02ca06,Urapidil
c02d,Agentes que actúan sobre el músculo liso arteriolar
c02db,Derivados de la hidrazinoftalazina
c02db02,Hidralazina
c02dc,Derivados de la pirimidina
c02dc01,Minoxidil
c02dd,Derivados del nitroferricianuro
c02dd01,Nitroprusiato
c02k,Otros antihipertensivos
c02kx,Otros antihipertensivos
c02kx02,Ambrisentán
c02kx01,Bosentano
c02kx04,Macitentan
c02kx54,Macitentán y tadalafilo
c02kx05,Riociguat
c02kx06,Sotatercept
c08,Bloqueantes de canales de calcio
c08g,Bloqueantes de canales de calcio y diuréticos
c08ga,Bloqueantes de canales de calcio y diuréticos
c08ga02,Amlodipino y diureticos
